product_id,product_group,product_category,product_type,product,root_product,product_description,unit_of_measure,grams_used,current_wholesale_price,current_retail_price,tax_exempt_yn,promo_yn,new_product_yn
1,Whole Bean/Teas,Coffee beans,Organic Beans,Brazilian - Organic,Brazilian,It's like Carnival in a cup. Clean and smooth.,12 oz,340.2,14.4,18,Y,N,N
2,Whole Bean/Teas,Coffee beans,House blend Beans,Our Old Time Diner Blend,Our Old Time Diner Blend,Out packed blend of beans that is reminiscent of the cup of coffee you used to get at a diner. ,12 oz,340.2,14.4,18,Y,N,N
3,Whole Bean/Teas,Coffee beans,Espresso Beans,Espresso Roast,Espresso Roast,Our house blend for a good espresso shot.,1 lb,453.6,11.8,14.75,Y,N,N
4,Whole Bean/Teas,Coffee beans,Espresso Beans,Primo Espresso Roast,Primo Espresso Roast,Our primium single source of hand roasted beans.,1 lb,453.6,16.36,20.45,Y,N,N
5,Whole Bean/Teas,Coffee beans,Gourmet Beans,Columbian Medium Roast,Columbian Medium Roast,A smooth cup of coffee any time of day. ,1 lb,453.6,12,15,Y,N,N
6,Whole Bean/Teas,Coffee beans,Gourmet Beans,Ethiopia,Ethiopia,From the home of coffee.,1 lb,453.6,16.8,21,Y,N,N
7,Whole Bean/Teas,Coffee beans,Premium Beans,Jamacian Coffee River,Jamacian Coffee River,"Ya man, it will start your day off right. ",1 lb,453.6,15.8,19.75,Y,N,N
8,Whole Bean/Teas,Coffee beans,Premium Beans,Civet Cat,Civet Cat,"The most expensive coffee in the world, the cats do all the work. ",.5 lb,226.8,36,45,Y,N,N
9,Whole Bean/Teas,Coffee beans,Organic Beans,Organic Decaf Blend,Organic Decaf Blend,Our blend of hand picked organic beans that have been naturally decaffinated. ,1 lb,453.6,18,22.5,Y,N,N
10,Whole Bean/Teas,Coffee beans,Green beans,Guatemalan Sustainably Grown,Guatemalan Sustainably Grown,Green beans you can roast yourself. ,1 lb,453.6,8,10,Y,N,N
11,Whole Bean/Teas,Loose Tea,Herbal tea,Lemon Grass,Lemon Grass,You will think you are Thailand as you sip your cuppa. ,.9 oz,25.515,7.16,8.95,Y,N,N
12,Whole Bean/Teas,Loose Tea,Herbal tea,Peppermint,Peppermint,Cool and refreshing to help calm your nerves. ,.9 oz,25.515,7.16,8.95,Y,N,N
13,Whole Bean/Teas,Loose Tea,Black tea,English Breakfast,English Breakfast,The traditional cup to start your day.,.9 oz,25.515,7.16,8.95,Y,N,N
14,Whole Bean/Teas,Loose Tea,Black tea,Earl Grey,Earl Grey,A full leaf of Orange Pekoe blended with organic oil of bergamot.,.9 oz,25.515,7.16,8.95,Y,N,N
15,Whole Bean/Teas,Loose Tea,Green tea,Serenity Green Tea,Serenity Green Tea,Mountain grown and harvested at the optimal time. ,1 oz,28.35,7.4,9.25,Y,N,N
16,Whole Bean/Teas,Loose Tea,Chai tea,Traditional Blend Chai,Traditional Blend Chai,A traditional blend.,.9 oz,25.515,7.16,8.95,Y,N,N
17,Whole Bean/Teas,Loose Tea,Chai tea,Morning Sunrise Chai,Morning Sunrise Chai,Fair trade and organic and has a warm finish. ,.9 oz,25.515,7.6,9.5,Y,N,N
18,Whole Bean/Teas,Loose Tea,Chai tea,Spicy Eye Opener Chai,Spicy Eye Opener Chai,A spicier blend to awaken your taste buds.,.9 oz,25.515,8.76,10.95,Y,N,N
19,Whole Bean/Teas,Packaged Chocolate,Drinking Chocolate,Dark chocolate,Dark chocolate,This drinking chocolate is smooth and creamy.,1 lb,453.6,5.12,6.4,Y,N,N
20,Whole Bean/Teas,Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,Sustainably Grown Organic,Certified organic containing the highest quality ingredients. ,1 lb,453.6,6.08,7.6,Y,N,N
21,Whole Bean/Teas,Packaged Chocolate,Drinking Chocolate,Chili Mayan,Chili Mayan,"Fragrant with spices, this is the most flavourful drinking chocolate you will find.",1 lb,453.6,10.66,13.33,Y,N,N
22,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Our Old Time Diner Blend,An honest cup a coffee.,8 oz,#VALUE!,0.4,2,Y,N,N
23,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Our Old Time Diner Blend,An honest cup a coffee.,16 oz,#VALUE!,0.5,2.5,Y,N,N
24,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Our Old Time Diner Blend,An honest cup a coffee.,24 oz,#VALUE!,0.6,3,Y,N,N
25,Beverages,Coffee,Organic brewed coffee,Brazilian Sm,Brazilian,It's like Carnival in a cup. Clean and smooth.,8 oz,#VALUE!,0.44,2.2,Y,N,N
26,Beverages,Coffee,Organic brewed coffee,Brazilian Rg,Brazilian,It's like Carnival in a cup. Clean and smooth.,16 oz,#VALUE!,0.6,3,Y,N,N
27,Beverages,Coffee,Organic brewed coffee,Brazilian Lg,Brazilian,It's like Carnival in a cup. Clean and smooth.,24 oz,#VALUE!,0.7,3.5,Y,N,N
28,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Columbian Medium Roast,A smooth cup of coffee any time of day. ,8 oz,#VALUE!,0.4,2,Y,N,N
29,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Columbian Medium Roast,A smooth cup of coffee any time of day. ,16 oz,#VALUE!,0.5,2.5,Y,N,N
30,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Columbian Medium Roast,A smooth cup of coffee any time of day. ,24 oz,#VALUE!,0.6,3,Y,N,N
31,Beverages,Coffee,Gourmet brewed coffee,Ethiopia Sm,Ethiopia,A bold cup when you want that something extra.,8 oz,#VALUE!,0.44,2.2,Y,N,N
32,Beverages,Coffee,Gourmet brewed coffee,Ethiopia Rg,Ethiopia,A bold cup when you want that something extra.,16 oz,#VALUE!,0.6,3,Y,N,N
33,Beverages,Coffee,Gourmet brewed coffee,Ethiopia Lg,Ethiopia,A bold cup when you want that something extra.,24 oz,#VALUE!,0.7,3.5,Y,N,N
34,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Jamaican Coffee River,Still a front runner for good premium coffee. ,8 oz,#VALUE!,0.49,2.45,Y,N,N
35,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Jamaican Coffee River,Still a front runner for good premium coffee. ,16 oz,#VALUE!,0.62,3.1,Y,N,N
36,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Jamaican Coffee River,Still a front runner for good premium coffee. ,24 oz,#VALUE!,0.75,3.75,Y,N,N
37,Beverages,Coffee,Barista Espresso,Espresso shot,Espresso shot,You will think you are in Venice when you sip this one. ,1.5 oz,#VALUE!,0.6,3,Y,N,N
38,Beverages,Coffee,Barista Espresso,Latte,Latte,You will think you are in Venice when you sip this one. ,1.5 oz,#VALUE!,0.75,3.75,Y,N,N
39,Beverages,Coffee,Barista Espresso,Latte Rg,Latte,You will think you are in Venice when you sip this one. ,3.0 oz,#VALUE!,0.85,4.25,Y,N,N
40,Beverages,Coffee,Barista Espresso,Cappuccino,Cappuccino,You will think you are in Venice when you sip this one. ,1.5 oz,#VALUE!,0.75,3.75,Y,N,N
41,Beverages,Coffee,Barista Espresso,Cappuccino Lg,Cappuccino,You will think you are in Venice when you sip this one. ,3.0 oz,#VALUE!,0.85,4.25,Y,N,N
42,Beverages,Tea,Brewed herbal tea,Lemon Grass Rg,Lemon Grass,You will think you are in Thailand. ,16 oz,#VALUE!,0.63,2.5,Y,N,N
43,Beverages,Tea,Brewed herbal tea,Lemon Grass Lg,Lemon Grass,You will think you are in Thailand. ,24 oz,#VALUE!,0.75,3,Y,N,N
44,Beverages,Tea,Brewed herbal tea,Peppermint Rg,Peppermint,A cool and refreshing cup.,16 oz,#VALUE!,0.63,2.5,Y,N,N
45,Beverages,Tea,Brewed herbal tea,Peppermint Lg,Peppermint,A cool and refreshing cup.,24 oz,#VALUE!,0.75,3,Y,N,N
46,Beverages,Tea,Brewed Green tea,Serenity Green Tea Rg,Serenity Green Tea,Feel the stress leaving your body. ,16 oz,#VALUE!,0.63,2.5,Y,N,N
47,Beverages,Tea,Brewed Green tea,Serenity Green Tea Lg,Serenity Green Tea,Feel the stress leaving your body. ,24 oz,#VALUE!,0.75,3,Y,N,N
48,Beverages,Tea,Brewed Black tea,English Breakfast Rg,English Breakfast,The Queen's favourite cuppa in the morning. ,16 oz,#VALUE!,0.63,2.5,Y,N,N
49,Beverages,Tea,Brewed Black tea,English Breakfast Lg,English Breakfast,The Queen's favourite cuppa in the morning. ,24 oz,#VALUE!,0.75,3,Y,N,N
50,Beverages,Tea,Brewed Black tea,Earl Grey Rg,Earl Grey,Tradition in a cup.,16 oz,#VALUE!,0.63,2.5,Y,N,N
51,Beverages,Tea,Brewed Black tea,Earl Grey Lg,Earl Grey,Tradition in a cup.,24 oz,#VALUE!,0.75,3,Y,N,N
52,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Traditional Blend Chai,Sit back and think of the tropical breezes.,16 oz,#VALUE!,0.63,2.5,Y,N,N
53,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Traditional Blend Chai,Sit back and think of the tropical breezes.,24 oz,#VALUE!,0.75,3,Y,N,N
54,Beverages,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Morning Sunrise Chai,Face the morning after your yoga routine. ,16 oz,#VALUE!,0.63,2.5,Y,N,N
55,Beverages,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Morning Sunrise Chai,Face the morning after your yoga routine. ,24 oz,#VALUE!,1,4,Y,N,N
56,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Spicy Eye Opener Chai,When you need your eyes opened wide.,16 oz,#VALUE!,0.64,2.55,Y,N,N
57,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Spicy Eye Opener Chai,When you need your eyes opened wide.,24 oz,#VALUE!,0.78,3.1,Y,N,N
58,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Dark chocolate,"Slightly bitter, but still very rich. ",12 oz,#VALUE!,2.63,3.5,Y,N,N
59,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Dark chocolate,"Slightly bitter, but still very rich. ",16 oz,#VALUE!,3.38,4.5,Y,N,N
60,Beverages,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sustainably Grown Organic,Just pure notes of spice.,12 oz,#VALUE!,2.81,3.75,Y,N,N
61,Beverages,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sustainably Grown Organic,Just pure notes of spice.,16 oz,#VALUE!,3.56,4.75,Y,N,N
62,Beverages,Drinking Chocolate,Hot chocolate,Snow Day Hot Chocolate,Snow Day Hot Chocolate,Added marshmallows for the needed sugar rush.,8 oz,#VALUE!,2.25,3,Y,N,N
63,Add-ons,Flavours,Regular syrup,Carmel syrup,Carmel syrup,Rich carmel taste,pump,#VALUE!,0.04,0.8,Y,N,N
64,Add-ons,Flavours,Regular syrup,Hazelnut syrup,Hazelnut syrup,Bursting with nutty flavour,pump,#VALUE!,0.04,0.8,Y,N,N
65,Add-ons,Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Sugar Free Vanilla syrup,Our favorite,pump,#VALUE!,0.04,0.8,Y,N,N
66,Beverages,Coffee,Seasonal drink,Pumpkin Spice Latte,Pumpkin Spice Latte,"Boo, its that time of year again",1.5 oz,#VALUE!,0.99,4.95,Y,N,N
67,Beverages,Coffee,Seasonal drink,Pumpkin Spice Latte Lg,Pumpkin Spice Latte,"Boo, its that time of year again",3.0 oz,#VALUE!,1.19,5.95,Y,Y,N
68,Beverages,Drinking Chocolate,Seasonal drink,Happy Holidays hot chocolate,Happy Holidays hot chocolate,"Candy cane and hot chocolate, perfect.",8 oz,#VALUE!,2.81,3.75,Y,Y,Y
75,Food,Bakery,Pastry,Croissant,Croissant,Flakey and buttery,single,#VALUE!,2.11,3.25,N,N,N
70,Food,Bakery,Scone,Cranberry Scone,Cranberry Scone,Like Grandma used to make,single,#VALUE!,2.11,3.25,N,N,N
71,Food,Bakery,Pastry,Chocolate Croissant,Chocolate Croissant,Chocolate flakes,single,#VALUE!,2.44,3.75,N,N,N
72,Food,Bakery,Scone,Ginger Scone,Ginger Scone,Little bit of spice,single,#VALUE!,2.11,3.25,N,N,N
73,Food,Bakery,Pastry,Almond Croissant,Almond Croissant,Crunch!,single,#VALUE!,2.44,3.75,N,N,N
74,Food,Bakery,Biscotti,Ginger Biscotti,Ginger Biscotti,Crunch!,single,#VALUE!,2.28,3.5,N,N,N
69,Food,Bakery,Biscotti,Hazelnut Biscotti,Hazelnut Biscotti,Crunch!,single,#VALUE!,2.28,3.5,N,N,N
76,Food,Bakery,Biscotti,Chocolate Chip Biscotti,Chocolate Chip Biscotti,Crunch!,single,#VALUE!,2.28,3.5,N,N,N
77,Food,Bakery,Scone,Oatmeal Scone,Oatmeal Scone,Grannys fav,single,#VALUE!,1.95,3,N,N,N
78,Food,Bakery,Scone,Scottish Cream Scone ,Scottish Cream Scone ,Old time comfort,single,#VALUE!,2.93,4.5,N,N,N
79,Food,Bakery,Scone,Jumbo Savory Scone,Jumbo Savory Scone,"Anytime, anywhere",single,#VALUE!,2.44,3.75,N,N,N
80,Merchandise,Branded,Clothing,I Need My Bean! Toque,I Need My Bean! Toque,keep your head bean warm,single,#VALUE!,7.36,23,N,N,N
81,Merchandise,Branded,Clothing,I Need My Bean! T-shirt,I Need My Bean! T-shirt,Stylish chic,single,#VALUE!,8.96,28,N,N,N
82,Merchandise,Branded,Housewares,I Need My Bean! Diner mug,I Need My Bean! Diner mug,Classic,single,#VALUE!,3.84,12,N,N,N
83,Merchandise,Branded,Housewares,I Need My Bean! Latte cup,I Need My Bean! Latte cup,The cup and saucer set is the perfect way to enjoy your latte at home,single,#VALUE!,4.48,14,N,N,N
84,Add-ons,Flavours,Regular syrup,Chocolate syrup,Chocolate syrup,Bursting with chocolate flavour,pump,#VALUE!,0.04,0.8,Y,N,N
85,Beverages,Coffee,Specialty coffee,Rio Nights,Rio Nights,2 shots of Ouro Brasilerio and pure cane sugar syrup,6 oz,#VALUE!,1.2,6,Y,N,Y
87,Beverages,Coffee,Barista Espresso,Ouro Brasileiro shot,Ouro Brasileiro shot,From Rio,1.5 oz,#VALUE!,0.6,3,Y,N,N
88,Beverages,Coffee,Barista Espresso,Ouro Brasileiro shot promo,Ouro Brasileiro shot promo,Ouro promo,16 oz,#VALUE!,0.42,2.1,Y,Y,N
89,Food,Bakery,Scone,Ginger Scone promo,Ginger Scone promo,Little bit of spice,single,#VALUE!,1.72,2.65,N,Y,N
